lemma,norm
proposal,2.6797311
version,2.661749
conversation,3.025271
somebody,2.5952377
pound,3.0502613
magazine,3.1277122
shape,2.603156
sea,2.8246179
immediately,2.481732
welcome,2.7230606
smile,3.3378837
communication,2.6841135
agent,3.1862547
traditional,2.3525398
replace,2.6452987
judge,2.8202717
herself,3.112086
suddenly,2.262685
generation,2.7797103
estimate,3.3268278
favorite,2.827543
difficulty,2.9042397
purchase,2.5815647
shoot,2.96764
announce,3.0054846
unless,2.3211796
independent,2.613652
recommend,2.9026468
survey,3.3793437
majority,2.3472376
stick,2.5846827
request,2.643937
rich,2.6170654
wind,2.8493438
none,2.1653004
exchange,2.6067357
budget,3.0913012
famous,2.3973272
blood,3.3121326
appropriate,2.4427528
block,2.6054292
warm,2.7777345
count,2.5420792
scene,2.6273715
writer,3.2480297
content,2.758302
prevent,2.8733277
safe,2.7044241
invite,2.5944262
mix,2.3508828
element,2.5736065
effective,2.5883934
correct,2.4998894
medical,2.5468976
admit,2.4851303
beat,2.6803803
telephone,3.038235
copy,3.052487
committee,2.7296817
aware,2.4932346
advice,3.0495977
handle,2.5280163
glass,2.8922443
trial,2.9842916
stress,2.9444578
radio,2.8541424
administration,2.369999
complex,2.4121332
text,2.8828175
context,2.6056488
ride,2.775529
directly,2.290058
heavy,2.5787413
remove,2.9066958
conduct,2.5753968
equipment,2.6801972
otherwise,2.1951432
title,2.808964
extra,2.486955
executive,2.643504
chair,3.051836
expensive,2.717068
sample,3.053503
sex,3.285537
deliver,2.5375702
video,2.5093057
connection,2.675777
primary,2.47814
weather,3.1379466
collect,2.6342516
inform,2.6863952
principle,2.4953015
straight,2.4319534
appeal,2.8293576
highly,2.6083562
trust,2.6681242
wonderful,2.5997036
flat,2.587835
absolutely,2.570878
flow,2.9210236
fair,2.5286946
additional,2.2332873
responsible,2.7906978
farm,2.8953633
collection,2.548259
hang,2.766319
negative,2.7148418
band,2.688584
relative,2.4848151
tour,3.072048
alternative,2.4836266
software,2.5999353
pair,2.2631013
ship,2.984015
attitude,2.901103
cheap,2.7814615
double,2.5405838
leg,2.7730868
observe,2.6614497
sentence,3.8415678
print,2.7507539
progress,2.8089674
truth,2.6959789
nobody,2.549307
examine,2.7826223
lay,2.7032468
speed,2.7141087
politics,2.941717
reply,3.402906
display,2.5422642
transfer,2.616725
perfect,2.5271137
slightly,2.414774
overall,2.2706494
intend,2.6980484
user,3.3243272
respond,2.8800638
dinner,2.9622405
slow,2.6591873
regular,2.1692033
physical,2.559569
apart,2.7758706
suit,2.943491
federal,2.4726865
reveal,2.6885724
percentage,3.0176687
peace,3.2824647
status,2.7738006
crime,3.0900605
decline,2.9386988
decade,2.46761
launch,2.6134088
warn,2.9270747
consumer,2.9361422
favor,2.478438
dry,2.7800257
partner,2.479397
institution,2.7272289
spot,2.541426
horse,3.1340117
eventually,2.125929
heat,2.9713242
excite,3.0363522
reader,3.0305064
importance,2.9364433
distance,2.7808053
guide,2.6157792
grant,2.9119954
taxi,3.27193
feed,2.7362666
pain,2.9442606
sector,2.8007686
mistake,2.9712505
ensure,2.5474646
satisfy,2.7627876
chief,2.770889
cool,2.5345242
expert,2.9010499
wave,2.8654277
south,2.4060833
labor,2.8855288
surface,2.7153034
library,2.882708
excellent,2.5672226
edge,2.663854
camp,2.757131
audience,2.851778
lift,2.6572678
procedure,2.9772282
email,3.3234172
global,2.4558077
struggle,2.5757878
advertise,3.2939208
select,2.4639192
surround,2.659972
extent,2.4919019
river,3.1403449
annual,2.572113
fully,2.4481332
contrast,2.6516113
roll,2.5112119
reality,2.5488813
photograph,3.1120358
artist,3.0639372
conflict,2.9382055
entire,2.1393745
presence,2.6371977
crowd,2.9239297
corner,2.5397503
gas,2.8500364
shift,2.6497412
net,2.8836505
category,2.7538571
secretary,3.16965
defense,2.9369876
quick,2.4236379
cook,3.2081199
spread,2.846599
nuclear,3.7352617
scale,2.5565617
driver,2.7972064
ball,3.303768
cry,2.9189005
introduction,2.4147687
requirement,2.648974
north,2.4477355
confirm,2.9780633
senior,2.2759902
photo,3.1913962
refuse,2.624461
transport,2.6889317
emerge,2.8293262
map,3.0544856
concept,2.4882336
island,2.8211043
reform,3.0955439
neither,2.3448856
football,2.855416
survive,2.868913
flight,3.0105586
left,1.9547042
solve,2.9838943
neighbor,2.9742491
background,2.6916537
technique,3.019936
traffic,2.9249887
improvement,2.9309223
tool,2.9241734
consequence,2.3725793
circumstance,2.8417914
